13:31:51.304 -> 
13:31:57.858 -> sensor = 8	 output = 2
13:31:57.892 -> sensor = 726	 output = 181
13:31:57.927 -> sensor = 963	 output = 240
13:31:57.961 -> sensor = 963	 output = 240
13:31:57.996 -> sensor = 963	 output = 240
13:31:57.996 -> sensor = 963	 output = 240
13:31:58.030 -> sensor = 959	 output = 239
13:31:58.065 -> sensor = 214	 output = 53
13:31:58.100 -> sensor = 9	 output = 2
13:31:58.135 -> sensor = 9	 output = 2
13:31:58.135 -> sensor = 9	 output = 2
13:31:58.169 -> sensor = 9	 output = 2
13:31:58.204 -> sensor = 9	 output = 2
13:31:58.204 -> sensor = 9	 output = 2
13:31:58.238 -> sensor = 9	 output = 2
13:31:58.272 -> sensor = 9	 output = 2
13:31:58.272 -> sensor = 9	 output = 2
13:31:58.306 -> sensor = 9	 output = 2
13:31:58.341 -> sensor = 8	 output = 2
13:31:58.376 -> sensor = 9	 output = 2
13:31:58.410 -> sensor = 9	 output = 2
13:31:58.410 -> sensor = 9	 output = 2
13:31:58.445 -> sensor = 9	 output = 2
13:31:58.445 -> sensor = 9	 output = 2
13:31:58.480 -> sensor = 9	 output = 2
13:31:58.515 -> sensor = 9	 output = 2
13:31:58.550 -> sensor = 9	 output = 2
13:31:58.585 -> sensor = 9	 output = 2
13:31:58.585 -> sensor = 9	 output = 2
13:31:58.620 -> sensor = 9	 output = 2
13:31:58.620 -> sensor = 9	 output = 2
13:31:58.655 -> sensor = 9	 output = 2
13:31:58.690 -> sensor = 9	 output = 2
13:31:58.725 -> sensor = 9	 output = 2
13:31:58.725 -> sensor = 9	 output = 2
13:31:58.759 -> sensor = 9	 output = 2
13:31:58.793 -> sensor = 9	 output = 2
13:31:58.827 -> sensor = 9	 output = 2
13:31:58.827 -> sensor = 9	 output = 2
13:31:58.862 -> sensor = 9	 output = 2
13:31:58.897 -> sensor = 9	 output = 2
13:31:58.897 -> sensor = 9	 output = 2
13:31:58.932 -> sensor = 9	 output = 2
13:31:58.967 -> sensor = 9	 output = 2
13:31:59.002 -> sensor = 26	 output = 6
13:31:59.036 -> sensor = 9	 output = 2
13:31:59.036 -> sensor = 9	 output = 2
13:31:59.071 -> sensor = 15	 output = 3
13:31:59.071 -> sensor = 9	 output = 2
13:31:59.105 -> sensor = 9	 output = 2
13:31:59.139 -> sensor = 9	 output = 2
13:31:59.173 -> sensor = 122	 output = 30
13:31:59.207 -> sensor = 612	 output = 153
13:31:59.241 -> sensor = 778	 output = 194
13:31:59.241 -> sensor = 779	 output = 194
13:31:59.275 -> sensor = 433	 output = 108
13:31:59.309 -> sensor = 65	 output = 16
13:31:59.343 -> sensor = 7	 output = 1
13:31:59.343 -> sensor = 8	 output = 2
13:31:59.377 -> sensor = 8	 output = 2
13:31:59.412 -> sensor = 8	 output = 2
13:31:59.447 -> sensor = 7	 output = 1
13:31:59.482 -> sensor = 7	 output = 1
13:31:59.482 -> sensor = 39	 output = 9
13:31:59.517 -> sensor = 35	 output = 8
13:31:59.517 -> sensor = 8	 output = 2
13:31:59.551 -> sensor = 9	 output = 2
13:31:59.586 -> sensor = 42	 output = 10
13:31:59.621 -> sensor = 70	 output = 17
13:31:59.656 -> sensor = 443	 output = 110
