13:41:21.041 -> sensor = 6	 output = 1
13:41:21.075 -> sensor = 6	 output = 1
13:41:21.075 -> sensor = 6	 output = 1
13:41:21.109 -> sensor = 6	 output = 1
13:41:21.144 -> sensor = 6	 output = 1
13:41:21.144 -> sensor = 6	 output = 1
13:41:21.179 -> sensor = 6	 output = 1
13:41:21.214 -> sensor = 6	 output = 1
13:41:21.249 -> sensor = 6	 output = 1
13:41:21.249 -> sensor = 6	 output = 1
13:41:21.284 -> sensor = 6	 output = 1
13:41:21.319 -> sensor = 6	 output = 1
13:41:21.319 -> sensor = 6	 output = 1
13:41:21.354 -> sensor = 6	 output = 1
13:41:21.388 -> sensor = 6	 output = 1
13:41:21.423 -> sensor = 6	 output = 1
13:41:21.423 -> sensor = 6	 output = 1
13:41:21.457 -> sensor = 6	 output = 1
13:41:21.491 -> sensor = 6	 output = 1
13:41:21.525 -> sensor = 6	 output = 1
13:41:21.525 -> sensor = 6	 output = 1
13:41:21.559 -> sensor = 6	 output = 1
13:41:21.594 -> sensor = 6	 output = 1
13:41:21.594 -> sensor = 6	 output = 1
13:41:21.629 -> sensor = 6	 output = 1
13:41:21.663 -> sensor = 6	 output = 1
13:41:21.698 -> sensor = 6	 output = 1
13:41:21.698 -> sensor = 6	 output = 1
13:41:21.733 -> sensor = 6	 output = 1
13:41:21.733 -> sensor = 6	 output = 1
13:41:21.767 -> sensor = 6	 output = 1
13:41:21.802 -> sensor = 6	 output = 1
13:41:21.837 -> sensor = 6	 output = 1
13:41:21.871 -> sensor = 6	 output = 1
13:41:21.871 -> sensor = 6	 output = 1
13:41:21.906 -> sensor = 6	 output = 1
13:41:21.941 -> sensor = 7	 output = 1
13:41:21.941 -> sensor = 6	 output = 1
13:41:21.975 -> sensor = 6	 output = 1
13:41:22.010 -> sensor = 6	 output = 1
13:41:22.044 -> sensor = 6	 output = 1
13:41:22.044 -> sensor = 6	 output = 1
13:41:22.078 -> sensor = 70	 output = 17
13:41:22.113 -> sensor = 241	 output = 60
13:41:22.147 -> sensor = 441	 output = 110
13:41:22.181 -> sensor = 560	 output = 140
13:41:22.181 -> sensor = 604	 output = 151
13:41:22.216 -> sensor = 599	 output = 149
13:41:22.251 -> sensor = 567	 output = 141
13:41:22.286 -> sensor = 665	 output = 166
13:41:22.321 -> sensor = 962	 output = 240
13:41:22.355 -> sensor = 962	 output = 240
13:41:22.390 -> sensor = 962	 output = 240
13:41:22.390 -> sensor = 961	 output = 240
13:41:22.425 -> sensor = 961	 output = 240
13:41:22.460 -> sensor = 960	 output = 240
13:41:22.495 -> sensor = 865	 output = 216
13:41:22.529 -> sensor = 670	 output = 167
13:41:22.564 -> sensor = 496	 output = 124
13:41:22.564 -> sensor = 576	 output = 144
13:41:22.599 -> sensor = 739	 output = 184
13:41:22.634 -> sensor = 860	 output = 215
13:41:22.668 -> sensor = 849	 output = 212
13:41:22.703 -> sensor = 855	 output = 213
13:41:22.703 -> sensor = 868	 output = 217
13:41:22.738 -> sensor = 821	 output = 205
13:41:22.773 -> sensor = 786	 output = 196
13:41:22.808 -> sensor = 751	 output = 187
13:41:22.842 -> sensor = 795	 output = 198
13:41:22.842 -> sensor = 813	 output = 203
13:41:22.876 -> sensor = 675	 output = 168
13:41:22.910 -> sensor = 455	 output = 113
13:41:22.945 -> sensor = 225	 output = 56
