13:36:34.832 -> sensor = 7	 output = 1
13:36:34.867 -> sensor = 8	 output = 2
13:36:34.901 -> sensor = 7	 output = 1
13:36:34.901 -> sensor = 8	 output = 2
13:36:34.936 -> sensor = 7	 output = 1
13:36:34.936 -> sensor = 7	 output = 1
13:36:34.971 -> sensor = 7	 output = 1
13:36:35.005 -> sensor = 8	 output = 2
13:36:35.039 -> sensor = 7	 output = 1
13:36:35.039 -> sensor = 7	 output = 1
13:36:35.074 -> sensor = 8	 output = 2
13:36:35.109 -> sensor = 8	 output = 2
13:36:35.109 -> sensor = 8	 output = 2
13:36:35.143 -> sensor = 7	 output = 1
13:36:35.177 -> sensor = 7	 output = 1
13:36:35.211 -> sensor = 8	 output = 2
13:36:35.211 -> sensor = 8	 output = 2
13:36:35.246 -> sensor = 8	 output = 2
13:36:35.281 -> sensor = 8	 output = 2
13:36:35.316 -> sensor = 8	 output = 2
13:36:35.350 -> sensor = 8	 output = 2
13:36:35.350 -> sensor = 8	 output = 2
13:36:35.385 -> sensor = 7	 output = 1
13:36:35.385 -> sensor = 8	 output = 2
13:36:35.419 -> sensor = 8	 output = 2
13:36:35.453 -> sensor = 281	 output = 70
13:36:35.488 -> sensor = 963	 output = 240
13:36:35.523 -> sensor = 963	 output = 240
13:36:35.558 -> sensor = 963	 output = 240
13:36:35.558 -> sensor = 963	 output = 240
13:36:35.599 -> sensor = 963	 output = 240
13:36:35.627 -> sensor = 963	 output = 240
13:36:35.661 -> sensor = 964	 output = 241
13:36:35.695 -> sensor = 963	 output = 240
13:36:35.729 -> sensor = 963	 output = 240
13:36:35.729 -> sensor = 7	 output = 1
13:36:35.763 -> sensor = 7	 output = 1
13:36:35.797 -> sensor = 7	 output = 1
13:36:35.797 -> sensor = 7	 output = 1
13:36:35.832 -> sensor = 7	 output = 1
13:36:35.866 -> sensor = 7	 output = 1
13:36:35.901 -> sensor = 7	 output = 1
13:36:35.901 -> sensor = 7	 output = 1
13:36:35.936 -> sensor = 7	 output = 1
13:36:35.971 -> sensor = 7	 output = 1
13:36:36.005 -> sensor = 7	 output = 1
13:36:36.005 -> sensor = 7	 output = 1
13:36:36.039 -> sensor = 7	 output = 1
13:36:36.074 -> sensor = 7	 output = 1
13:36:36.074 -> sensor = 7	 output = 1
13:36:36.109 -> sensor = 7	 output = 1
13:36:36.143 -> sensor = 7	 output = 1
13:36:36.176 -> sensor = 7	 output = 1
13:36:36.176 -> sensor = 963	 output = 240
13:36:36.210 -> sensor = 963	 output = 240
13:36:36.244 -> sensor = 963	 output = 240
13:36:36.279 -> sensor = 963	 output = 240
13:36:36.313 -> sensor = 961	 output = 240
13:36:36.313 -> sensor = 218	 output = 54
13:36:36.347 -> sensor = 6	 output = 1
13:36:36.381 -> sensor = 6	 output = 1
13:36:36.415 -> sensor = 5	 output = 1
13:36:36.449 -> sensor = 6	 output = 1
13:36:36.449 -> sensor = 6	 output = 1
13:36:36.484 -> sensor = 351	 output = 87
13:36:36.519 -> sensor = 963	 output = 240
13:36:36.552 -> sensor = 963	 output = 240
13:36:36.552 -> sensor = 963	 output = 240
13:36:36.586 -> sensor = 4	 output = 1
13:36:36.621 -> sensor = 4	 output = 1
13:36:36.656 -> sensor = 4	 output = 1
13:36:36.691 -> sensor = 4	 output = 1
13:36:36.691 -> sensor = 4	 output = 1
13:36:36.726 -> sensor = 4	 output = 1
13:36:36.761 -> sensor = 4	 output = 1
13:36:36.761 -> sensor = 4	 output = 1
13:36:36.796 -> sensor = 4	 output = 1
13:36:36.831 -> sensor = 4	 output = 1
13:36:36.866 -> sensor = 4	 output = 1
13:36:36.866 -> sensor = 4	 output = 1
13:36:36.900 -> sensor = 4	 output = 1
13:36:36.934 -> sensor = 4	 output = 1
13:36:36.934 -> sensor = 4	 output = 1
13:36:36.969 -> sensor = 4	 output = 1
13:36:37.003 -> sensor = 4	 output = 1
13:36:37.038 -> sensor = 4	 output = 1
13:36:37.038 -> sensor = 4	 output = 1
13:36:37.073 -> sensor = 4	 output = 1
13:36:37.108 -> sensor = 4	 output = 1
13:36:37.142 -> sensor = 4	 output = 1
13:36:37.142 -> sensor = 4	 output = 1
13:36:37.176 -> sensor = 4	 output = 1
13:36:37.211 -> sensor = 4	 output = 1
13:36:37.211 -> sensor = 4	 output = 1
13:36:37.246 -> sensor = 4	 output = 1
13:36:37.280 -> sensor = 4	 output = 1
13:36:37.315 -> sensor = 4	 output = 1
13:36:37.315 -> sensor = 4	 output = 1
13:36:37.350 -> sensor = 4	 output = 1
13:36:37.350 -> sensor = 4	 output = 1
13:36:37.384 -> sensor = 4	 output = 1
13:36:37.419 -> sensor = 4	 output = 1
13:36:37.453 -> sensor = 318	 output = 79
13:36:37.488 -> sensor = 963	 output = 240
13:36:37.523 -> sensor = 962	 output = 240
13:36:37.558 -> sensor = 963	 output = 240
13:36:37.558 -> sensor = 963	 output = 240
13:36:37.592 -> sensor = 963	 output = 240
13:36:37.627 -> sensor = 962	 output = 240
13:36:37.661 -> sensor = 963	 output = 240
13:36:37.696 -> sensor = 912	 output = 228
13:36:37.696 -> sensor = 5	 output = 1
13:36:37.731 -> sensor = 5	 output = 1
13:36:37.766 -> sensor = 5	 output = 1
13:36:37.766 -> sensor = 5	 output = 1
13:36:37.801 -> sensor = 5	 output = 1
13:36:37.836 -> sensor = 5	 output = 1
13:36:37.871 -> sensor = 5	 output = 1
13:36:37.871 -> sensor = 5	 output = 1
13:36:37.906 -> sensor = 5	 output = 1
13:36:37.941 -> sensor = 5	 output = 1
13:36:37.975 -> sensor = 5	 output = 1
13:36:37.975 -> sensor = 5	 output = 1
13:36:38.009 -> sensor = 5	 output = 1
13:36:38.043 -> sensor = 5	 output = 1
13:36:38.043 -> sensor = 5	 output = 1
13:36:38.078 -> sensor = 5	 output = 1
13:36:38.113 -> sensor = 5	 output = 1
13:36:38.147 -> sensor = 5	 output = 1
13:36:38.147 -> sensor = 5	 output = 1
13:36:38.182 -> sensor = 5	 output = 1
13:36:38.217 -> sensor = 5	 output = 1
13:36:38.217 -> sensor = 5	 output = 1
13:36:38.252 -> sensor = 5	 output = 1
13:36:38.287 -> sensor = 5	 output = 1
13:36:38.322 -> sensor = 5	 output = 1
13:36:38.322 -> sensor = 5	 output = 1
13:36:38.357 -> sensor = 5	 output = 1
13:36:38.392 -> sensor = 5	 output = 1
13:36:38.392 -> sensor = 6	 output = 1
13:36:38.426 -> sensor = 5	 output = 1
13:36:38.460 -> sensor = 5	 output = 1
13:36:38.494 -> sensor = 5	 output = 1
13:36:38.494 -> sensor = 6	 output = 1
13:36:38.529 -> sensor = 5	 output = 1
13:36:38.564 -> sensor = 5	 output = 1
13:36:38.598 -> sensor = 5	 output = 1
13:36:38.598 -> sensor = 199	 output = 49
13:36:38.633 -> sensor = 963	 output = 240
13:36:38.668 -> sensor = 963	 output = 240
13:36:38.703 -> sensor = 963	 output = 240
13:36:38.737 -> sensor = 963	 output = 240
13:36:38.737 -> sensor = 963	 output = 240
13:36:38.771 -> sensor = 963	 output = 240
13:36:38.806 -> sensor = 957	 output = 239
13:36:38.841 -> sensor = 5	 output = 1
13:36:38.841 -> sensor = 5	 output = 1
13:36:38.876 -> sensor = 5	 output = 1
13:36:38.911 -> sensor = 5	 output = 1
13:36:38.946 -> sensor = 5	 output = 1
13:36:38.981 -> sensor = 5	 output = 1
13:36:38.981 -> sensor = 5	 output = 1
13:36:39.016 -> sensor = 5	 output = 1
13:36:39.016 -> sensor = 5	 output = 1
13:36:39.051 -> sensor = 5	 output = 1
13:36:39.086 -> sensor = 5	 output = 1
13:36:39.120 -> sensor = 201	 output = 50
13:36:39.153 -> sensor = 683	 output = 170
13:36:39.188 -> sensor = 964	 output = 241
13:36:39.188 -> sensor = 963	 output = 240
13:36:39.223 -> sensor = 963	 output = 240
13:36:39.257 -> sensor = 4	 output = 1
13:36:39.291 -> sensor = 5	 output = 1
13:36:39.291 -> sensor = 5	 output = 1
13:36:39.325 -> sensor = 5	 output = 1
13:36:39.360 -> sensor = 4	 output = 1
13:36:39.395 -> sensor = 5	 output = 1
13:36:39.395 -> sensor = 5	 output = 1
13:36:39.430 -> sensor = 5	 output = 1
13:36:39.464 -> sensor = 5	 output = 1
13:36:39.464 -> sensor = 77	 output = 19
13:36:39.499 -> sensor = 699	 output = 174
13:36:39.533 -> sensor = 963	 output = 240
13:36:39.568 -> sensor = 963	 output = 240
13:36:39.602 -> sensor = 963	 output = 240
13:36:39.637 -> sensor = 963	 output = 240
13:36:39.672 -> sensor = 849	 output = 212
13:36:39.672 -> sensor = 5	 output = 1
13:36:39.707 -> sensor = 5	 output = 1
13:36:39.742 -> sensor = 5	 output = 1
13:36:39.742 -> sensor = 5	 output = 1
13:36:39.777 -> sensor = 5	 output = 1
13:36:39.812 -> sensor = 5	 output = 1
13:36:39.846 -> sensor = 5	 output = 1
13:36:39.846 -> sensor = 5	 output = 1
